1965	A Love Supreme	John Coltrane	This album marks a high point of what African American musicians called "the new thing" or "new black music", a form of improvised jazz closely linked to Black Consciousness and Black Power movements, but categorized as "free jazz" by white critics on the basis of formal musical characteristics only. 
1965	Efficient Market Hypothesis	Eugene Fama	Core economic hypothesis that states that prices reflect all available information and that it is impossible to outperform the market except by chance or high risk. Fama was awarded the 2013 Nobel Prize in Economics.
1965	ELIZA	Joseph Weizenbaum	An interactive program – the world's first chat bot – that holds a conversation in the English language simulating the dialogue of a psychotherapist with a patient. People's willingness to speak to speak with ELIZA surprised its creator and inspired his critique of Artificial Intelligence.
1965	Hypertext	Ted Nelson	Hypertext is the concept behind links on the web, influencing several developers of the Internet, most notably Tim Berners-Lee.
1965	Power outage in NY		Largest power outage in history blacks out New York City and parts of the North Western states. Following in history was the large blackout of 1977, which was almost on the same scale.
1965	Watts Riots		The largest urban rebellion of the U.S. Civil Rights era. It lasted for 6 days. Over 14,000 National Guard troops were mobilized. The riot started on August 11 in Watts, an impoverished African American neighborhood in South Central Los Angeles. Following an arrest, tensions between police officers and the crowd of onlookers erupted in a violent exchange.
1966	9 Evenings: Theatre and Engineering'    	E.A.T. – Bell Labs    	E.A.T. - Experiments in Art and Technology was a series of performances, conceived by Robert Rauschenberg and Billy Klüvers, where artists collaborated with engineers from Bell Laboratories. Their collaboration produced many "firsts" in the use of new technology for the theater: closed-circuit television and projection was used on stage; a fibre-optics camera picked up objects in a performer's pocket; an infrared TV camera captured action in total darkness; a Doppler sonar device translated movement into sound; portable wireless FM transmitters and amplifiers transmitted speech and body sounds to loudspeakers.
1966	Tricontinental Conference 		At the 1955 Bandung conference, leaders from Asia and Africa met for the first time without European or American participation, and founded the movement of non-aligned nations (NAM) that neither belonged to the capitalist West nor to the Soviet-dominated East. The 1966 Tricontinental conference extended Afro-Asian solidarity into the Americas, marking a highpoint in the construction of a Third World anti-imperialist project. OSPAAAL was more radical than earlier efforts in its attempt to align anti-imperialism with a wider challenge to capitalism.
1967	Beat the Market: A Scientific Stock Market System	Edward O. Thorp, Shen S. Kassouf 	As a consequence of his success in pioneering probability theory in casino gambling, Edward O. Thorp took his findings to “the biggest casino in the world”: Wall Street. In the book, he reported on his experience as a financial engineer ("quant") who uses quantitative analysis techniques and computers to forecast stock market moves. He is therefore acknowledged as the “godfather of the quants”. 
1967	Picture of planet Earth taken from space	NASA	This picture was immediately taken up by a counter-culture to show the earth as an integrated, fragile system where borders play no role. It was featured on the cover of the first issue of the Whole Earth Catalog. Important for the emerging environmental movement.
1967	Small World Experiment	Stanley Milgram	A social psychologist, he conducted a (real-life) social network experiment in order to find average path lengths between two random individuals. The result, six degrees of separation, has become challenged in the age of online social networks where Facebook for example reports it to be around 3.57. The digitally connected world has become smaller.
1967	Society of the Spectacle	Guy Debord	The single most influential work by Debord, a member of the Situationist International. This group of European artists analyzed and deconstructed the role of the cultural industry in manipulating political consciousness in the consumer society through the production of spectacles. They invented subversive cultural techniques as the derivé (aimless drifting) and detournément (applying different meanings to known artifacts) that became widely used by numerous critical cultural movements, from punk to culture jamming.
1968	“The Mother of All Demos”	Douglas Engelbart	First demonstration of almost all the fundamental elements of modern personal computing: windows, hypertext, graphics, efficient navigation and command input, video conferencing, the computer mouse, word processing, dynamic file linking, revision control, and a collaborative real-time editor (collaborative work). This spawned similar projects at Xerox PARC in the early 1970s leading to the standard interface of personal computers.
1968	Cybernetic of Cybernetics	Heinz von Förster 	“To understand a brain, you need a brain”, with this legendary quote the Austrian physicist and philosopher Heinz von Förster (1911-2002) points out his idea of circularity, a fundamental principal of cybernetic thinking. Focusing on self-referential systems and the observer, he develops “second-order cybernetics,” highlighting the importance of self organisation and individual responsibility for all areas of life, technology and society. 
1968	Cybernetic Serendipity	Jasia Reichardt (curator)	A group exhibition at the Institute of Contemporary Arts, London. One part of the exhibition was concerned with algorithms and devices for generating music. Some exhibits were pamphlets describing the algorithms, whilst others presented musical notation produced by computers. Devices made musical effects and played tapes of sounds made by computers. Another part described computer projects such as Gustav Metzger's self-destructive Five screens with computer, a design for a new hospital, a computer programmed structure, and dance choreography.
1968	May '68		Students and workers in Paris launched a new type of revolution. They did not aim at taking over power of the state but at dissolving power and hierarchies as such by revolutionizing everyday life. Similar revolts happened in many countries around the world, including socialist nations such as Yugoslavia and Czechoslovakia where revolutionary ideas were also condoned from the top (Prague Spring).
1968	Tendencies 4: Computers and Visual Research	New Tendencies	The exhibition and symposium Computers and Visual Research, August 2-8, 1968, opened in Zagreb one day after Cybernetic Serendipity. It presented an overview of computer generated artwork to date. The international network and movement New Tendencies approached computer graphics from the point of view of "visual research", exploring connections between analog, "programmed art" based on Gestalt psychology principles and computer based visual research.
1968	The Population Bomb 	Paul Ralph Ehrlich 	It was the best seller version of the Neo-Malthusian warnings that became more and more popular through the 1950s and 60s. The growth of agricultural production would not keep pace with the growth of population. Rigorous family planning was advocated to avoid this scenario.
1969	ARPANET (predecessor of the Internet)	JCR Licklider et al. 	This network, that has evolved into the Internet we know today, went online in 1969, connecting four US universities, UCLA, Stanford Research Institute (SRI), UC Santa Barbara (UCSB), and the University of Utah in Salt Lake City.
1969	First Human on the Moon  	NASA Apollo program	It was estimated that one out of five humans followed the live broadcast of the Apollo 11 landing on the moon in 1969. The carefully staged TV pictures became a widely used propaganda tool stating the dominance of capitalism over the communist USSR who had previously been leading in the "space race". Earth seen from space (blue planet) became an important symbol for environmentalism. 
1969	First quantitative hedge fund 	Convertible Hedge Associates (Edward O. Thorp and Jay Regan)	Hedge funds are largely unregulated entities and therefore apply so-called market-neutral strategies: Quantitative (mathematical) models and methods exploit market inefficiencies by making highly-concentrated bets while limiting market exposure through a combination of (statistical) arbitrage and long/short positions.
1969	General System Theory	Ludwig von Bertalanffy	In contrast to the closed systems of physics governed by entropy, biological systems are considered by von Bertalanffy as open systems maintaining steady state. As such they could be described by cybernetics. However, von Bertalanffy distanced his approach from Wiener’s machinic cybernetic concept, instead advocating that open systems organize in complex ways in order to keep steady state and obey a more general form of thermodynamics (negative entropy).
1969	Genital Panic	Valie Export	In this photographic performance the artist poses with trousers which have been cut to expose the pubic area, while at the same time holding a machine gun. The work asserts the female artist's self-definition vis-a-vis the male gaze and is an exemplary work of a new wave of feminist art which contributed to a wider shift in the perception of gender stereotypes.
1969	Stonewall riots		A series of violent demonstrations following a police raid, on June 28, on the most popular gay bar in New York, the Stonewall Inn. These riots expressed the will to fight back against repression rather than to hide and ingnited the modern gay and lesbian movement.
1969	UNIX (computer operating system)	Ken Thompson, Dennis Ritchie et al.	Unix is an operating system whose basic concept is still in place today, as a multi-tasking, multi-user system where many small programs are strung together through a command-line interface called a shell. Unix and its successors, the various flavours of its free alternative Linux, are the operating systems of choice for software developers and for professional applications such as web servers.
1969	When Attitudes become Form	Harald Szeemann	The exhibition marked the conceptual turn in art: The transition from late modern practices to dematerialized post-modern practices. According to English art philosopher Peter Osborne, this was the last really big paradigm change in fine art that is still in place today; first large group show of contemporary art with corporate sponsoring by Phillip Morris Company.
1969	Woodstock		The music festival, advertised as "An Aquarian Exposition: 3 Days of Peace & Music", attracted an audience of 400,000 people. It was a major manifestation of the new values of hippie and pacifist counter-culture in the context of the Vietnam War.
1970	Bitches Brew	Miles Davis	The album fused jazz with electric and electronic instruments and studio post-production elements such as tape loops, delays and echo chambers. It represents a high-point of afro-futurism.
1970	Information (Exhibition)	Kynaston McShine (curator)	Held at MoMA in New York it presented videos and installations by 100 American and European artists, mainly from the field of conceptual art. It included an early example of art engaging with publicly accessible archives. Some of the participating artists confronted the issues of political and media based contents: Hans Haacke established MOMA POLL as a first link between the areas of politics and the museum by presenting an open poll system. 
1970	PARC (Palo Alto Research Center)	 	PARC, a division of Xerox Corporation, was founded. Many of the building blocks of the modern personal computer and the graphical user interface (GUI) were developed there.
1970	Phone Phreaking	John Draper alias Captain Crunch	He used a toy whistle to gain access to the AT&T telephone switches, enabling him to make free phone calls and conferences, creating an early computing  subculture. This had a major impact on the emerging computer industry, for example, Steve Jobs and Steve Wozniak developed phreaking devices before founding Apple Inc.
1970	Software (Exhibition)	Jack Burnham (curator)	The show introduced the concept of software as a metaphor for art and presented works by conceptual artists and computer scientists together. According to its curator, computer artists and conceptual artists gave preference and heightened importance to software defined as the expression of an idea that becomes reality by simulating it.
1970	The Container		After being developed by Malcolm McLean in the 1950s, the modern freight container was fully standardized by International Standards Organistion. This reduced both loading and unloading time, undermining the power of the dockers' union. Efficient transport through containers played a large part in the quadrupling of world trade since 1970.
1970	Transcendental Conceptualism	OHO (art group)	The works by OHO carried out in the context of the Information exhibition were termed "transcendental conceptualism" by Tomas Brejc. By using methods of chance, the group members tried to demonstrate telepathic connections across continents as a comment to the emerging sphere of global communication.
1971	Casual Passer-by I met	Braco Dimitrijević	Series of works wherein a passer-by met by the artists is photographed and shown in public space; undermined conventions of image display in socialist society; work seen as a precursor of social media by presenting faces of ordinary people; together with other works in former Yugoslavia, it marks a determined shift away from the principles of hope offered by the Marxist utopia.
1971	End of the Gold Standard	Richard Nixon, US President	Effectively ended the post-war economic order (Bretton Woods) and introduced a new system of flexible exchange rates of freely floating fiat currencies as the basis of world economy.
1971	First Microprocessor	Intel Corporation	The first microprocessor, the Intel 4004, contained all functions of a computer on a tiny chip. Initially commissioned for a Japanese electronic calculator, it significantly drove down the cost of computing. This chip, and its successors, were soon being used in a wide range of machines – including some of the first home personal computers. These chips mark "the big bang of the information revolution" (Carlota Perez). 
1971	NASDAQ	The National Association of Securities Dealers Automated Quotations 	The NASDAQ was the first electronic stock market worldwide. It began as an automated quotation system but quickly developed into a full-fledged marketplace. It is the second largest exchange by market capitalizaition today. 
1971	Project Cybersyn	Stafford Beer	The British cyberneticist built a computer network for the Chilean socialist government of Salvador Allende. Its goal was to provide real-time management of the economy from a central operations room. The US supported military coup on September 11, 1973 effectively ended Cybersyn and cybernetic socialism, instead turning Chile into a laboratory for neoliberalism.
1971	Project Gutenberg	Michael S. Hart	This is the oldest digital library, a volunteer effort to digitize and archive cultural works, to “encourage the creation and distribution of eBooks”. Most of the items in its collection are the full texts of public domain books. As of April 2015, Project Gutenberg has over 49,200 items in its collection.
1972	Autopoiesis	Humberto Maturana, Francisco Varela	Under the socialist presidency (S. Allende, 1970-73) in Chile, the two cell biologists develop the concept of "autopoeisis" (Greek for "self" and "creation"). By this they mean a system, such as a cell, that is functionally closed, but coupled with the environment, from which it takes all the necessary elements to (re)produce itself. While building on Cybernetics and General Systems Theory, they add a key element to it: autonomy. Each autopoietic system "can specify its own rules, what is proper to it." (1987:8) This marks a shift away from the focus on control of first-order cybernetics towards a horizontal view of self-organized systems interacting with each other.
1972	Hip Hop, Breakbeats and the "Merry-Go-Round" (sampling with Turntables)	DJ Kool Herc	Clive Campbell, a Jamaica born DJ in NYC, Bronx, started using turntables to create loops of break-beats, "percussion only" passages in funk, soul, disco and Latin music. This practice is an important precursor of Hip Hop, and provided the basis for appropriation and looping as cultural techniques foundational for the information age. 
1972	Lenin in Budapest	Bálint Szombáthy	By carrying a poster of Lenin – the leader of the Bolshevik Revolution of 1917 – through Budapest, the artist revealed the socialist revolution as at the same time a lost dream and a society on which the bureaucratic order of the party was imposed; marks the break of artists with the socialist utopia by displaying its icons in the trivial everyday life of "actually existing socialism." 
1972	Musée d'Art Moderne, Départment des Aigles	Marcel Broodthaers	Marcel Broodthaers presents his seminal Installation "Musée d'Art Moderne, Départment des Aigles" at the Documenta V in Kassel. The long term project of a “museum” run by the artist, which began in 1968, enables a specific form of institutional critique. At the Documenta V, Broodthaers presents a collection of objects and materials entirely based on the concept of the eagle thus organizing an informational approach to cultural production in the context of fine art.
1972	Pong	Atari	Pong, programmed by Allan Alcorn in 1972, and based on table tennis, is the first commercially successful arcade video game machine, which helped to establish the video game industry.
1972	The Limits to Growth	Club of Rome	Based on computer simulation, this study tried to forecast the effects of exponential growth on a world of limited resources. It triggered a debate about natural limits to unrestrained economic development and its impact on the environment. The report represents the growing ecological consciousness in Western industrial countries. 
1972	Watergate		The arrest of five burglars in the headquarter of the Democratic Party in the Watergate building complex led to revelations about widespread abuse of power by president Richard Nixon, including secret wiretapping at the White House. Drawing on an anonymous source called Deep Throat, investigative reporters followed the money trail to the top of the Nixon administration. This led to widespread distrust of the American political establishment and a crisis of legitimacy.
1973	Audiovisual Messages	Trigon Festival	The exhibition, shown as part of Trigon festival, was the first large scale exhibition in central Europe dedicated to artists working with video. With specially commissioned works by, among others, Gianni Colombo, Sania Iveković, Dalibor Martinis, Nusra and Sreco Dragan.   
1973	Black-Scholes-Merton model (BSM)	Fisher Black, Myron Scholes, Robert C. Merton 	Its mathematical equation gives the theoretically risk-free price for an option. Probability theory applied to betting on market movements changed the attitude towards derivatives from immoral gambling to a scientific and rational activity. Even though the model's hypothesis was falsified during the 1987 market crash, Scholes and Merton received the Nobel Prize in Economics in 1997 (Black had died before). BSM had to be calculated on a computer, which initially impeded its use on trading floors. When Joseph Ritchie programmed the formula into a hand-held calculator (1975), it became the paradigmatic tool every trader still uses.
1973	Chicago Board Options Exchange (CBOE)		The CBOE is the first marketplace for trading listed options. After the end of Bretton Woods, hedging and speculation became the new business model for managing risk and price expectations. Information was crucial, which led to computerization and new institutions (marketplaces). This initiated a growth in derivative markets, products and models that is ongoing.
1973	End of Bretton Woods 		After the abandonment of the gold standard, the pegging of currencies to the U.S. dollar was ended for good. Currencies became free floating and exchange rates volatile. This prompted the development of new risk management methods. Derivative markets proliferated due to a mindset that saw speculation as inherent to free markets.
1973	Filosofía de la liberación	Enrique Dussel	The philosophy of liberation – a book title as well as a collective effort in the name of liberation, autonomy and authenticity – is a major strand within post-colonial discourse. It aims to think the distinct world historical character of Latin America out of economic, cultural, political dependency. It is a critique of imperialism, colonialism, globalization, racism, and sexism articulated from the experience of exploitation, destitution, alienation, and reification. According to Dussel, there will be no future apart from the liberation of the periphery.
1973	OPEC Oil Crisis		In response to American-led Western support for Israel in the Yom Kippur War, the Organization of Oil Exporting Countries enacted an oil export embargo. This exacerbated an already looming crisis of Keynesian Fordism, prompting the intensification of a paradigm change towards neoliberalism. The event also marked the beginning of a rising influence of a radical form of Islam from Saudi Arabia.
1973	Post-Industrial Society	Daniel Bell	Influential book arguing that a shift towards information processing is transforming economy, politics and culture in Western societies. 
1973	Remote Frequency Identification (RFID)		Two key patents for modern Radio Frequency Identification technology granted in the US. RFID became a key infrastructure for global logistics and real time tracking of objects, animals and humans (for example, through ankle monitors).
1973	Television Delivers People	Richard Serra	A short film made by artist Richard Serra. Working alongside Carlota Fay Schoolman, the two artists bought some airtime to broadcast the piece to the public. The text of this piece of video art is a critique of mass media and pop culture as a control tactic and social construct.
1974	Autobahn	Kraftwerk	The first of a series of recordings by the German band Kraftwerk which pioneers a new synthetic musical style using synthesizers, drum machines and a purpose-built vocoder. They deeply influenced New Wave synthesizer music, Hip Hop, Electro, House and Techno Music. 
1974	Petrodollars		In 1974 a USA-Saudi alliance fixed the dollar as the only currency for oil trade in the OPEC system. This, in combination with the high oil prices, increased the amount of free floating capital, the so-called "petrodollars", which were channeled into loans by US banks for emerging economies, thus contributing to the global finance system.
1974	Recombinant DNA	Stanford University	The patent application of Stanford University for recombinant DNA marks a turning point: rDNA allows for the moving of sequences of genetic information across the barriers of species and genus.
1974	Relational Database (SQL)		In 1974 the first specification for SQL (Structured Query Language) was published. SQL is the leading technology behind the "database revolution" (Big Data) as well as a basis of data storage and retrieval in the 21st century.
1974	The Internet Protocol Suite (TCP/IP)	Vint Cerf, Bob Kahn	Transmission Control Protocol and Internet Protocol (TC/IP) is a suite of protocols that form the technological core of the Internet. The layered architecture of those protocols ensures the net's capacity for decentral self-organisation and its neutrality (data packets are passed on regardless of content or destination).
1974	TV Buddha	Nam June Paik	With his seminal "closed-circuit" video installation TV Buddha, Nam Jun Paik presents one of the canonical pieces of early video art, which engages with the specificities of television as a live medium.
1974	Universal Product Code on Barcodes		The (optical) Universal Product Code on barcodes was created by IBM consultant George Laurer. It followed the introduction of the first barcode scanner in 1972 and together with the container it effected a global revolution in logistics.
1975	Angola and Mozambique Independence		After close to 500 years of Portuguese rule, these two territories gain formal independence. This marks the end of European colonialism as formal political system.
1975	Fristenlösung (Legal Abortion) in Austria 	AUF (Aktion Unabhängiger Frauen), SPÖ (Social Democrats)	Abortion became legalized in Austria under certain conditions. One of a series of victories of the new womens movements in many countries.This right of control over their own body was hard fought for by women and continues to be controversial in some countries.
1975	Genetic Algorithms	John Holland	This book established the field of genetic algorithms. Today, they play an important role in studies of complex adaptive systems. Applications range from adaptive agents in economic theory to machine learning techniques used in the design of complex technologies and Big Data processing. 
1975	New York City Bankruptcy		The city administration was forced into a technical bankruptcy when it found itself unable to refinance its debt. The conditions of the bailout forced a restructuring of the public institutions, curbing the power of unions, introducing tuition fees at public colleges and dismantling the welfare state. This served as a template for neo-liberal policies around the world.
1975	Semiotics of the Kitchen	Martha Rosler	In this video, Rosler works herself through an alphabet of expressions relating to the kitchen, whereby she "replaces the domesticated 'meaning' of tools with a lexicon of rage and frustration." The piece has become an icon of feminist video art.
1976	Animal Liberation Front	Ronnie Lee	An international, clandestine, leaderless resistance engaging in illegal direct action in pursuit of animal rights. Activists see themselves as a modern-day Underground Railroad, removing animals from labs and farms, destroying facilities, arranging safe houses and veterinary care, and operating sanctuaries where the animals subsequently live. It marks a major radicalization in the animal rights movement and a new type underground organisation, rejecting centralized leadership and command. 
1976	Apple Inc.	Steve Jobs, Steve Wozniak	Apple computer company, now Apple Inc., was founded on April 1. Its first product, the Apple I, was a computer kit, designed and hand-built by Wozniak. Apple became successful by taking care of the creative side of computing, offering one of the first GUIs and pioneering applications for desktop design and graphic design.
1976	Karnataka State Electronics Development Corporation (Keonics)	Ram Krishna Baliga	With the establishment of Keonics by the the chief minister of the Indian state of Karnataka, the vision of turning Bangalore into the "Silicon Valley of India" (Baliga) found offical support and the "Electronics City" was established as the first hub of IT development. With the liberalization of the Indian economy in the 1990s, Bangalore grew into one of the leading hubs for outsourced IT services.
1976	Post Partum Document I	Mary Kelly	The work grew out of Kelly's engagement with feminism, psychoanalysis and women groups and art. The piece consists of a six year exploration of the child-mother relationship and combined written text with stained baby nappies. When shown at the ICA, it caused an outrage in tabloid media. The work was of lasting influence on post-conceptual art.
1977	 Tape-bow violin	Laurie Anderson	Anderson is a pioneer in electronic music and has invented several devices that she has used in her recordings and performance art shows. In 1977, she created a tape-bow violin that makes use of recorded magnetic tape on the bow instead of horsehair and a magnetic tape head in the bridge.
1977	In Vitro Fertilization (IVF)	Robert Edwards, Patrick Steptoe      	The world's first successful outside the body conception which resulted in the birth of Louise Brown on 25 July 1978, in Greater Manchester, UK. Since then IVF has changed the relation to our body, to sex, reproduction and the meaning of kinship and family. In some countries almost 5 percent of the population are conceived by "Assisted Reproduction Technology".
1977	MedienOperative Berlin e.V.		The concept of an alternative public media sphere – an idea that has its origins in the 1960s – was pushed forward by activist groups of the 1970s and the 1980s, like Paper Tiger TV, Deep Dish Television, and others. All these groups wanted to create media for and by minorities and affected parties, working partly against and partly with television. The MedienOperative Berlin e.V. was founded in 1977. Initially an alternative media center it became a production company in the 1980s which increasingly produced for public television. 
1977	Radio Alice		Free radio station in Bologna, stormed by police in 1977 while on air. Connected to the autonomist political movement and free radio movement, it's exemplary for the idea of a "molecular media revolution" from below.
1977	Satellite Arts Project	Kit Galloway and Sherrie Rabinowitz	First time use of satellites in art. The artists produced composite images of participants with the support of NASA, enabling an interactive dance concert amongst geographically disparate performers. These first satellite works emphasized the primacy of process that remained central to the theory and practice of telematic art. In 2000, Helen V. Jamieson terms "cyberperformance" a new art genre whose history she traces back to the Satellite Arts Project.
1977	Stammheim Deaths: End of First Phase of RAF		On October 18 1977, the suicide of Jan Carl Raspe, Gudrun Ensslin and Andreas Baader – leading members of the first wave of the urban guerrilla group Red Army Faction – in Stammheim high security prison was reported. This event marked a significant historical shift in the self-understanding of the German Left.
1978	Chinese Economic Reform 	Deng Xiaoping	The Chinese Economic Reform program was launched. It gradually introduced capitalist market economy policies while political power remained in the hands of the Communist party. China became the industrial workshop of the world, which triggered prolonged high economic growth rates, mounting ecological damage and the diminuation of labour power in the West.
1978	IBM (song title)	Throbbing Gristle	The Industrial Music pioneers use modem noises and other electronic sounds for their piece IBM, first track on their second album "Death on Arrival, The Third and Final Report."
1978	Orientalism	Edward Said	Major study that launched "post-colonial studies" as a field, challenging the Western bias on the Humanities and Social Sciences.
1978	Technology/Transformation: Wonder Woman	Dara Birnbaum	In the remix work she uses appropriated images of Wonder Woman to subvert the ideology and meaning embedded in the television series. 
1978	Zwentendorf referendum		A broad grass roots movement campaigned against the project of a nuclear power plant im Austria and succeeded in a public referendum. The first time resistance of civil society managed to halt a major technological project. This fostered the concept of the "Bürgerinitiative", a new form of citizen activism.
1979	Ars Electronica Festival	Hannes Leopoldseder, Hubert Bognermayr, Herbert W. Franke, Ulrich Rützel, Gottfried Hattinger	The beginning of a new, second wave of media art and digital art practices based on the availability of PCs and consumer electronics. Ars Electronica rapidly achieved worldwide attention as one of the biggest festivals to deal with the artistic possibilities and social consequences of digital technology. Based in Linz, the former industrial town tried to make use of this cultural capital and turn itself into an information economy centre.  
1979	Dragnet Investigation (Rasterfahndung)		In 1979 the German police arrested the RAF terrorist Rolf Heißler following the first successful use of the method of "Rasterfahndung" or dragnet investigation, based on computer based pattern recognition of a huge amount of individual electricity bills. This method is a precursor to present day Big Data criminal investigations.
1979	European Monetary System, EMS	EC member countries 	The European Monetary System became effective on March 19, and with some modifications, was operated in its original form until the beginning of the European Monetary Union on January 1, 1999. The EMS constituted an important intermediary step towards European Monetary Union.
1979	Gaia	James Lovelock	Introduction of the "Gaia hypothesis" conceptualising that living and non-living parts of the Earth form a complex interacting system that can be thought of as a single organism. Major influence on the ecological movement and on the development of thinking in complex systems.
1979	Iranian Revolution		The Iranian Revolution started out as a broad resistance against the Shah. After the return of Ayatollah Khomeini to Iran, the revolution was taken over by Islamic forces who built a revolutionary Islamic Republic. It was the first revolution of the 20th century that was not modelled on Western ideals.
1979	Three Miles Island nuclear accident		On March 28, the first major nuclear accident occurred at this Pennsylvania power plant. A first turning point in the global development of nuclear power, halting the rapid expansion which took place between the 1960s and 1970s.
1980	Green Party Germany		On January 13, the Green Party was founded. 1983 it won the first seats in the Bundestag, establishing a left-wing politics not tied to industrialism.
1980	Laibach		The concept pop group Laibach gets founded in Trbovlje, Slovenia. The use of the German name Laibach for the capital Ljubljana and the graphical language of the posters incite strong antagonistic reactions by the state. After a relaunch in 1982 Laibach become an internationally successful pop group which practices a detournement – a re-appropriation which changes the meaning and significance – of rock and pop songs such as Life is Life or Sympathy for the Devil.
1980	McBride Report: New World Order of Information and Communication	Séan MacBride and UNESCO	A UNESCO study on the effects of new communications media on the economy and on political participation. It established "communication justice" as a new theme in negotiations about international development. Critical line taken by report angered US government; pretext for stopping financial contributions to the UN.
1980	Rhizome	Gilles Deleuze, Félix Guattari	Among other important contributions in post-structural thinking, the book Milles Plateaux (A Thousand Plateaux) offered a template for the understanding of the internet. Deleuze and Guattari use the terms "rhizome" and "rhizomatic" to describe theory and research that allows for multiple, non-hierarchical entry and exit points in data representation and Interpretation.The term is lifted from biology and used in opposition to the arborescent (hierarchic, tree-like) conception of knowledge.
1980	Shenzhen Special Economic Zone		The creation of the first Special Economic Zone in Shenzhen, which was then a fishing village, provided the foundations for the export oriented Chinese economic miracle. It coincided with reforms in foreign exchange designed to open up the country for more investment and exchange.
1980	Smalltalk programming language (Public Release)	Alan Key et al.	The first agile, reflective, object-oriented programming language (later examples: Java, Python or Ruby). It allows for programming with dynamic, live (speech-like) qualities, or in more technical terms for interaction with a running system that is not stopped while waiting for new program statements. The practice of live coding emanates from this principle and reflects the just-in-time computational logic of the information age and the production of real-time actions and demand for ever-faster transactions and instantaneous feedback. 
1980	Solidarność	Lech Wałęsa	The "Independent Self-governing Labour Union 'Solidarity'" was founded on 17 September at the Lenin Shipyard in Gdańsk. It was the first of its type in the Eastern Block and reached 10 million members within a year, a third of the working age population. At the end of 1981, martial law was declared and the union banned. It survived years of repression underground. To overcome the growing crises "round table talks" were convened in 1989, which led to semi-free elections and a Solidarity-led coalition government. Thus, networked civil society eventually defeated bureaucracies, not just in Poland but across the Soviet sphere. 
1980	The Bayh-Dole Act, USA	Birch E. Bayh, Jr.; Bob Dole	After years of disinterest in patent law and in response to perceived economic stagnation the US Senate passed a law that allowed private capital to patent developments that have originated in federally funded projects both from The Defense Department via RAND and Los Alamos and also NASA. 
1980	Third Wave	Alvin Toffler	This book popularized the idea of a profound social change related to computers, justifying the attack on unions and social welfare state as standing in the way of inevitable and desirable progress.
1980	Usenet		The Usenet is often dubbed the precursor of the Internet and started in 1980 as a technology to browse and post "articles" (news) in categories ("newsgroups"). 
1981	Air Traffic Control Strike	Ronald Reagan	On August 5 1981 Ronald Reagan fired 11.000 air traffic control workers who had just begun a strike for better pay. This new tough line "signalled an all-out assault on the powers of organized labour", marking the start of the decline for the labour movement, an event of similar significance as the British Miners strike.
1981	Chaos Computer Club	CCC, Wau Holland	The German hacker organization Chaos Computer Club (CCC) was founded in Berlin (West) in the offices of the newspaper taz. It became the largest such organisation in the world and was soon recognized an independent center of competence in socio-technical debates.
1981	Ecstasy (MDMA)		Although MDMA had been first synthesized by chemical company Merck in 1912, it only became more widely known and used after it was nicknamed Ecstasy in 1981 and became the party drug of choice in the house and rave party scene of the 1980s. Its relatively mild effects producing euphoria and a sense of harmony make it the 'soma' of the information age.
1981	HIV/AIDS		First discovery of Human Immunodeficiency Virus infection and Acquired Immune Deficiency Syndrome. The virus developed in Western Africa in the early 20th century and came to the US in the 1960s where initially it spread mainly among gay men and injecting drug users. Now, Sub-Saharan Africa is the world's most affected region with 68 % of all cases.
1981	MS-DOS	Microsoft	Microsoft Disk Operating System developed by Microsoft from a request in 1981 by IBM for an operating system to use in its IBM PC range of personal computers.
1981	The Bloomberg Terminal	Bloomberg L.P.	Computer system that offers real-time market data to monitor, analyse and place trades on an electronic platform as well as news feeds, price quotes and messaging worldwide. A major jump in information distribution, it was quickly adopted by investment banks and brokerages. The 3-6 monitor terminals have become the iconic object of finance in movies and news reports. Today, over 300.000 professionals subscribe to the service.
1981	The Volcker Shock	Paul Volcker	The Federal Reserve Bank raised the interest rate to 20% to fight inflation. The "Volcker shock" sent the unemployment rate to above 10%, thus weakening unions. Borrowing money became more expensive, also for other countries whose currency was denominated in US dollars. Mexico was forced into default in 1982. This neoliberal turn effectively ended Keynesian policies 
1981	True Names: And the Opening of the Cyberspace Frontier	Vernor Vinge	Science fiction novella by Vernor Vinge, considered a seminal work of the cyberpunk genre. It is one of the earliest stories to present a fully fleshed-out concept of cyberspace, which would later be central to cyberpunk. The story also contains elements of transhumanism, anarchism, and hints about The Singularity.
1982	"Rock It" by Herbie Hancock 	Herbie Hancock	This track by former Jazz legend Herbie Hancock combines drum machines, synthesizers and scratching to create a foundational piece for the genre of electro. The video clip released a year later uses robots by artist Jim Whiting to celebrate alienation and artificiality.
1982	“The Computer” becomes “Man of the Year”	Time Magazine	The first IBM Personal Computer is introduced in 1981, with Apple's Lisa queuing up for a 1983 release. Time Magazine names the computer the most influential thing of 1982 and makes a machine “Man of the year”. This is an unexpected choice and there are rumors that Steve Jobs cried, because he thought his face was going to be on Time’s cover. 
1982	Blade Runner	Ridley Scott	A modified film adaptation of Philip K. Dicks "Do Androids Dream of Electric Sheep" in which a detective hunts replicants of humans who defied a ban on returning to earth; a paradigmatic movie both because of its story-line about artificial humans and animals as well as the retro-futuristic depiction of Los Angeles. 
1982	Financial Deregulation	Reagan Administration	The Garn-St. Germain Depository Institutions Act was part of the first wave of financial deregulation, instigating an ever-expanding financialization of the economy, centering around real estate.
